,Subsistence [B004],Community marriage organisation,ID,Name in English,ISO639-3 codes,Degree of endangerment,Level of endangerment,Alternate names,Name in the language,Number of speakers,Latitude,Longitude
Thurrawal,,,,,,,,,,,,
Tjapwurrung,,,,,,,,,,,,
TweedRiverandPointDangar,,,,,,,,,,,,
Umpila,Fishing,Endogamous,234,Umpila,ump,Severely endangered,3,,,12,-13.0366,143.3386
Umpithamu,,,,,,,,,,,,
UpperBrisbaneRiver,,,,,,,,,,,,
Uradhi,,,,,,,,,,,,
UwOykangand,,,,,,,,,,,,
Wadikali,,,,,,,,,,,,
Wadjabangayi,,,,,,,,,,,,
Wailwan,,,,,,,,,,,,
Wajarri,,,244,Wajarri,wbv,Severely endangered,3,"Watjari, Watjarri, Wadjari, Wadjeri.",,20,-26.8841,116.6748
WakaWaka,,,,,,,,,,,,
Wakaya,,,,,,,,,,,,
Walangama,,,,,,,,,,,,
WalmajarriBilliluna,,,237,Walmajarri,wmt,Definitely endangered,2,"Walmadjari, Walmatjari, Walmatjiri, Walmajiri, Wolmeri, Pililuna.  Dialects: Djuwarliny (Juwaliny, Tjuwalinj).",,500,-19.9939,125.5297
WalmajarriHR,,,237,Walmajarri,wmt,Definitely endangered,2,"Walmadjari, Walmatjari, Walmatjiri, Walmajiri, Wolmeri, Pililuna.  Dialects: Djuwarliny (Juwaliny, Tjuwalinj).",,500,-19.9939,125.5297
WalmajarriNW,,,237,Walmajarri,wmt,Definitely endangered,2,"Walmadjari, Walmatjari, Walmatjiri, Walmajiri, Wolmeri, Pililuna.  Dialects: Djuwarliny (Juwaliny, Tjuwalinj).",,500,-19.9939,125.5297
Wangkajunga,,,,,,,,,,,,
Wangkangurru,,,,,,,,,,,,
Wangkatja,,,,,,,,,,,,
Wangkayutyuru,,,,,,,,,,,,
Wangkumara,,,,,,,,,,,,
WangkumaraMcDWur,,,,,,,,,,,,
Wardandi,,,,,,,,,,,,
Wargamay,,,,,,,,,,,,
Warlmanpa,,,,,,,,,,,,
Warlpiri,Gathering,Agamous,242,Warlpiri,wbp,Vulnerable,1,"Walbiri, Elpira, Ilpara, Wailbri, Walpiri, Walmama, Ngaliya, Ngardilpa.  Dialects: Related to Warlmanpa.",,3000,-20.8177,131.6601
Warluwarra,,,,,,,,,,,,
Warnman,Gathering,Agamous,240,Warnman,wbt,Severely endangered,3,"Wanman, Nanidjara, Nyaani.",,30,-22.9786,122.7832
Warriyangga,,,,,,,,,,,,
Warrnambool,,,,,,,,,,,,
Warumungu,,,243,Warumungu,wrm,Severely endangered,3,Warramunga.,,50,-19.5183,133.9453
Warungu,,Agamous,,,,Crtically endangered,4,,,,-19.44,144.65
Wathawurrung,,,,,,,,,,,,
Wathiwathi,,,,,,,,,,,,
Watjuk,,,,,,,,,,,,
Wellington,,,,,,,,,,,,
WembaWemba,,,,,,,,,,,,
WesternArrarnta,,,,,,,,,,,,
WikMuminh,,,,,,,,,,,,
WikMungkan,Gathering,Agamous,215,Wik Mungkan,wim,Vulnerable,1,"Wik-Mungkan, Wik-Munkan, Wik-Mungkhn, Munka",,1500,-12.9403,141.9873
WikNgatharr,,,245,Wik Ngathan,wig,Definitely endangered,2,Wik Ngathana,,100,-14.9561,141.8884
Wiradjuri,,,247,Wiradjuri,wrh,Critically endangered,4,"Wiradhuri, Wiradhurri, Berrembeel, Warandgeri, Werogery, Wiiratheri, Wira-Athoree, Wiraduri, Wirajeree, Wirashuri, Wiratheri, Wirracharee, Wiraidyuri, Wirrai'yarrai, Wooragurie, Wordjerg",,30,-34.5608,147.041
Wirangu,,Exogamous,,,,Critically endangered,4,,,,-31.56,132.85
Woiwurrung,,Endogamous,,,,Critically endangered,4,,,,-37.64,145.59
Wulguru,,,,,,,,,,,,
YabulaYabula,,,,,,,,,,,,
Yadhaykenu,,,,,,,,,,,,
Yagara,Gathering,,,,,,,,,,,
Yalarnnga,,,,,,,,,,,,
Yambina,,,,,,,,,,,,
Yandruwandha,,,,,,,,,,,,
Yangarella,,,,,,,,,,,,
Yangkaal,,,,,,,,,,,,
Yannhangu,,,2085,Yan-nhangu,jay,Definitely endangered,2,"Jarnango, Nangu, Yanangu.",,61,-12.094,134.89
Yanyuwa,,,250,Yanyuwa,jao,Severely endangered,3,"Yanyula, Janjula, Anyula, Wadiri, Yanula, Aniula, Anula, Leeanuwa.",,70,-15.9613,136.3842
Yardliyawarra,,,,,,,,,,,,
Yarluyandi,,,,,,,,,,,,
Yawarrawarrka,,,,,,,,,,,,
Yaygirr,,,,,,,,,,,,
Yidiny,,,,,,,,,,,,
Yindjibarndi,,,,,,,,,,,,
Yindjilandji,,,,,,,,,,,,
Yingkarta,,,,,,,,,,,,
Yinhawangka,,,,,,,,,,,,
Yiningay,,,,,,,,,,,,
Yinwum,,,,,,,,,,,,
YirYoront,,,252,Yir Yoront,yiy,Extinct,5,"Yir Yiront, Jir Joront, Gwandera, Kokomindjen, Mandjoen, Millera, Mind'jana, Mundjun, Myunduno.  Dialects: Dangedl (Dhanu'un, Djudjan, Dudjym), Gorminang, Jir'jorond (Jirmel Mel-Jir, Ngamba'wandh, Yirmel, Yirtangettle, Yir Thangedl, Yirtutiym",,0,-16.3095,141.4489
Yirandali,,,,,,,,,,,,
YithaYitha,,,,,,,,,,,,
YortaYorta,,,,,,,,,,,,
Yugambeh,,,,,,,,,,,,
Yugarabul,,,,,,,,,,,,
Yulparija,,,,,,,,,,,,
Yuwaalaraay,,Agamous,,,,Critically endangered,5,,,5,-29.84,149.81
Zorc,,,,,,,,,,,,
Bayali,,,,,,,,,,,,
Bibbulman,,,,,,,,,,,,
Bigambal,,,,,,,,,,,,
CoopersCreek,,,,,,,,,,,,
GlenInnes,,,,,,,,,,,,
GraniteRange,,,,,,,,,,,,
Hawkesbury,,,,,,,,,,,,
Janday,,,,,,,,,,,,
Kalaamaya,,,,,,,,,,,,
KingsCreekandtheGeorginaRiver,,,,,,,,,,,,
LakeHindmarsh,,,,,,,,,,,,
LowerBurdekin,,,,,,,,,,,,
NedsCornerStation,,,,,,,,,,,,
PytuReach,,,,,,,,,,,,
RoxburghDowns-LowerGeorgina,,,,,,,,,,,,
Tambo,,,,,,,,,,,,
Tenterfield,,,,,,,,,,,,
UpperParoo,,,,,,,,,,,,
Wanamara,,,,,,,,,,,,
Badjiri,,,,,,,,,,,,
Guwa,,,,,,,,,,,,
Yanda,,,,,,,,,,,,
