Language	Degree of endangerment	Level of endangerment	Number of speakers	Latitude	Longitude	Community Marriage Organisation	Name	fSD-dis-nondis	mSD-dis-nondis	agriculture				ID	Name in English	Community Marriage Organisation	Countries	Country codes alpha 3	ISO639-3 codes	Degree of endangerment	Alternate names	Name in the language	Number of speakers	Sources	Latitude	Longitude	Description of the location
Konyak_D							Konyak_D  	1	0	0																	
Kulung	Vulnerable	1	18686	27.518	86.9375		Kulung							1092	Kulung		Nepal	NPL	kle	Vulnerable	__Ç_‚____‚__é; Khulung; Kholung; Kulu Ring		18686	"Tolsma, Gerard. 2008. Personal communication.
Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/KÕ_ln: Brill.
Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.
ethnologue.com"	27.518	86.9375	"Solukhumbu and Saö_€khuv— Sabh— districts in Nepal.
Kulung Rai that migrated to Sikkim, India, can be mainly found in the West District (Zoom, Chakung), South District (Sanghanath-rockland) and East District (Assam Lingjey), according to the CIIL Sikkim survey.
"
Langsu_Maru	Severely endangered	3	50000	21.7748	92.2741		Langsu_Maru								Mru		Bangladesh			Severely endangered			50000		21.7748	92.2741	
Lepcha	Definitely endangered	2	30000	27.1153	88.4687		Lepcha    	1	0	0					Lepcha		Bhutan			Definitely endangered			30000		27.1153	88.4687	
Leqi			30000	26.1	98.55										Lashi								30000		26.1	98.55	
Lhasa	Safe	0	1200000	28.37	90.19	Agamous	Lhasa     	1	0	1					Tibetan Lhasa					Safe			1200000		28.37	90.19	
Lhota	Vulnerable	1	170000	26.1603	94.3725	Endogamy	Lhota     	1	0	0				1132	Lhota		India	IND	njh	Vulnerable			170000		26.1603	94.3725	"Nagaland, Wokha Dt."
Liangmai	Vulnerable	1	34000	25.2794	93.6694		Liangmai  	1	0	0				1147	Liangmai		India	IND	njn	Vulnerable	Liangmei		34000		25.2794	93.6694	"Nagaland, Kohima Dt."
Lijiang_Naxi	Safe	0	350000	27.46	100.11		Lijiang_Naxi	1	1	1					Lijiang Naxi		China			Safe			350000		27.46	100.11	
Limbu	Definitely endangered	2	300000	27.096	87.7356		Limbu     	1	0	0				1028	Limbu		"India, Nepal"	"IND, NPL"	lif	Definitely endangered	_______å_‚__Î_‚Š; Yakthungba		300000	"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/KÕ_ln: Brill.
Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.
ethnologue.com"	27.096	87.7356	"Eastern Nepal, India.
Tehrathum, Il—m, P—Õ±cthar, T—plejuö_€, Dhankuö__— districs."
